Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Social Media Marketing Intern (Unpaid),Talk To You Later LTD,"Part Time, Internship",HKD ($),Negotiable,2024-09-15
Software Engineer,Visutech Asia Limited,"Part Time, Temporary",HKD ($),70 - 75 per hour,2024-09-18
兼職專科班導師 (何文田 半山壹號),MODERN BACHELOR EDUCATION CENTRE (CELESTIAL HEIGHTS),"Part Time, Temporary",HKD ($),120 - 200 per hour,2024-09-18
兼職功課輔導班導師 (何文田 半山壹號),MODERN BACHELOR EDUCATION CENTRE (CELESTIAL HEIGHTS),"Part Time, Temporary",HKD ($),80 - 150 per hour,2024-09-18
Education Executive Officer (Graduate Job),"e-Learning Development Laboratory, The University of Hong Kong","Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-18
IT and Science Education Project Officer,"e-Learning Development Laboratory, The University of Hong Kong","Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-18
Primary Textbook Editing Translator (Graduate Job),"e-Learning Development Laboratory, The University of Hong Kong","Full Time, Graduate",HKD ($),16K - 22K per month,2024-09-18
"教育平台 (OpenAI, React, Laravel) 編程 Developer","e-Learning Development Laboratory, The University of Hong Kong","Full Time, Graduate",HKD ($),16K - 24K per month,2024-09-18
STEM Project Officer for K12 STEM Education,"e-Learning Development Laboratory, The University of Hong Kong","Full Time, Graduate",HKD ($),18.5K - 23K per month,2024-09-18
"Intern, Technical Accounting",Peak Reinsurance Company Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-18
"Part-time Recruiter (Listed MNC, Regional Exposure)",Recruitfirst Limited,"Part Time, Internship",HKD ($),60 - 70 per hour,2024-09-18
Logistics Coordinator (Air Export - Gateway),Expeditors Hong Kong Limited,"Full Time, Graduate",HKD ($),15K - 20K per month,2024-08-31
Investment Consultancy Trainee,The HAIDER Family Office Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-18
"小學導師 (5.5日)( 大埔太和)/Primary School Tutor (5.5DAYS)( Tai Wo, Tai Po)",Bright Union International Limited,"Full Time, Graduate",HKD ($),15K - 17K per month,2024-09-03
小學導師 (6日) (粉嶺)/Primary School Tutor (6DAYS) (Fanling),Bright Union International Limited,"Full Time, Graduate",HKD ($),21K per month,2024-09-03
"小學導師 (5.5天) (屯門盈豐)/Primary school tutor (5.5 Days) (GoodRich, Tuen Mun)",Bright Union International Limited,"Full Time, Graduate",HKD ($),17K per month,2024-09-03
"小學導師 (5.5天) (天水圍天澤)/Primary school tutor (5.5 Days) (Tin Chak, Tin Shui Wai)",Bright Union International Limited,"Full Time, Graduate",HKD ($),17K per month,2024-09-03
"小學導師 (5.5天) (天水圍銀座)/Primary school tutor (5.5 Days) (Ginza ,Tin Shui Wai)",Bright Union International Limited,"Full Time, Graduate",HKD ($),17K per month,2024-09-03
小學導師 (5.5天) (屯門市中心),Bright Union International Limited,"Full Time, Graduate",HKD ($),17K per month,2024-09-03
公民與社會發展科導師 (5天) /CSD Tutor(5 days),Bright Union International Limited,"Full Time, Graduate",HKD ($),22K per month,2024-09-04
高中經濟及BAFS企會財導師 (5天)/DSE BAFS & Economics Tutor (5 days),Bright Union International Limited,"Full Time, Graduate",HKD ($),22K - 23K per month,2024-09-04
初中英文導師(6天) (粉嶺),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K - 22K per month,2024-09-04
Part-time - Membership Services Assistant – Hotline (General Enquiry & Members Mobile App),The Hong Kong Jockey Club,"Part Time, Temporary",HKD ($),88 per hour,2024-09-16
Part-time Property Assistant (Call Centre),The Hong Kong Jockey Club,"Part Time, Temporary",HKD ($),Negotiable,2024-09-16
English Writer,Koomen International Company Limited,"Part Time, Temporary",HKD ($),70 - 100 per hour,2024-09-18
Sales Support (re-design of sales/accounting tools),Lufthansa Cargo Aktiengesellschaft,"Part Time, Internship",HKD ($),Negotiable,2024-09-15
Part Time Tutor (Secondary English),Arsenal Training Consultancy,"Part Time, Temporary",HKD ($),200 per hour,2024-09-18
Part Time Tutor (Primary English),Arsenal Training Consultancy,"Part Time, Temporary",HKD ($),200 per hour,2024-09-18
Part Time Tutor (Primary English),Arsenal Training Consultancy,"Part Time, Temporary",HKD ($),200 per hour,2024-09-18
