Titles,Companies,Currencies,Salaries,Closing Dates
"初中導師(5.5/6天) (沙田馬鞍山)/S1-S3 Secondary School Tutor (5.5/6 days) (Ma On Shan, Shatin))",Bright Union International Limited,HKD ($),17.5K - 19.5K per month,2024-08-30
初中導師(6天) (粉嶺皇后山)(每週38小時),Bright Union International Limited,HKD ($),15K - 17K per month,2024-08-30
初中導師(5.5/6天)(屯門市中心)/ Secondary School Tutor (5.5/6 days) (Tuen Mun Town Centre),Bright Union International Limited,HKD ($),0 - 18.5K per month,2024-08-30
Process Engineering Trainee (Based in Jiangmen),Johnson Electric Industrial Manufactory Limited,HKD ($),18K - 22K per month,2024-09-13
Data Center Operator/Technician ,HKCOLO Limited,HKD ($),19K - 22K per month,2024-09-14
Engineer Trainee,Shinryo (Hong Kong) Limited,HKD ($),Negotiable,2024-09-14
Sales Executive,New POS Network (HK) Ltd,HKD ($),19K - 21K per month,2024-09-14
"初中導師(5.5/6天) (沙田禾輋)/S1-S3 Secondary School Tutor (5.5/6 days) (Wo Che, Shatin)",Bright Union International Limited,HKD ($),19K - 21K per month,2024-08-30
Inside Sales Executive – Cloud Solutions Team,Superhub Limited,HKD ($),15K - 30K per month,2024-09-14
Part-time tutor - in person / remote work option available,Cana Academy Limited,HKD ($),250 - 500 per hour,2024-09-14
Audit Associate,T. O. Yip & Co. Limited,HKD ($),16.5K - 17K per month,2024-09-12
"Officer, Smart Industrial Systems and IoT Technology (Event and marketing focus) (Ref: SMD331/24. 9829)",Hong Kong Productivity Council,HKD ($),18K - 24K per month,2024-09-07
"初中導師(6天) (觀塘安達)/ S1-S3 Secondary School Tutor (6 days) (On Tat Estate, Kwun Tong)",Bright Union International Limited,HKD ($),19K - 20K per month,2024-08-30
統籌主任(教學)(6日) (屯門市中心)/ Centre Coordinator (Teaching) (6 DAYS) (Tuen Mun Town Centre),Bright Union International Limited,HKD ($),20.5K per month,2024-08-30
Veterinary Technician,MULTI-SCALE MEDICAL ROBOTICS CENTER LIMITED,HKD ($),18K - 25K per month,2024-09-14
(Assistant) Graduate Engineer - Installation/ Test & Commissioning / Design,ALSTOM Hong Kong Ltd,HKD ($),Negotiable,2024-09-14
Installation Engineer,ALSTOM Hong Kong Ltd,HKD ($),Negotiable,2024-09-14
AI Video Creator,Jojo Ventures Limited,HKD ($),Negotiable,2024-08-30
"Business Consultant (Serving Fortune 500 Clients, Central Grade A Office)",Endeavour Search Limited,HKD ($),22K - 34K per month,2024-09-14
Lecturer I/II in Department of Social Sciences and Policy Studies (Ref: 2400832),The Education University of Hong Kong,HKD ($),36K per month,2024-08-30
Assistant Event Manager/Events Coordinator,PROMO X LIMITED,HKD ($),16K - 20K per month,2024-08-23
Assistant Officer – Graduate School (Ref: AO (GS) 2024-08-16),The Hang Seng University of Hong Kong,HKD ($),Negotiable,2024-09-01
Graduate Intern (Development - Hong Kong Palace Museum),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-14
Audio & Video Assistant,Luk Fook Holdings Company Limited,HKD ($),15K - 18K per month,2024-09-14
Business Development Manager,Serica Holdings HK Limited,HKD ($),20K - 40K per month,2024-09-09
Junior Secretary,ONC Lawyers,HKD ($),15K - 18K per month,2024-08-31
Teaching Assistant (Mathematics),Good Hope School,HKD ($),17K per month,2024-08-30
Human Resources Assistant,LSG Lufthansa Service Hong Kong Ltd,HKD ($),15K - 18K per month,2024-09-14
Bell Attendant (行李員) *5-days work week*,Kowloon Panda Hotel Limited,HKD ($),14.3K - 15.3K per month,2024-09-14
Telephone Operator - Service Centre Associate (服務中心服務員) *5 day work week*,Kowloon Panda Hotel Limited,HKD ($),16K - 16.5K per month,2024-09-14
"HR Management Trainee (Recruitment focused, incentive bonus)",Recruitfirst Limited,HKD ($),17K - 20K per month,2024-09-14
HR & Admin Officer,Trinity Medical Imaging Centre Limited,HKD ($),16K - 18K per month,2024-09-14
Contract Graduate Master (English Language),St. Joan of Arc Secondary School,HKD ($),35.08K - 81.51K per month,2024-09-13
Assistant Quantity Surveyor (Construction Project Management),Fugro Geotechnical Services Limited,HKD ($),19K - 22K per month,2024-09-13
