Titles,Companies,Currencies,Salaries,Closing Dates
Assistant Property Officer - Tai Tam,Protech Property Management Limited,HKD ($),20K - 22K per month,2024-09-15
"中小學導師 (5.5天) (大埔太和)/Secondary School and Primary School Tutor (5.5ays) (Tai Wo, Tai Po)",Bright Union International Limited,HKD ($),15K - 16K per month,2024-08-31
Secondary School Social Worker,The Boys' & Girls' Clubs Association of Hong Kong(HQ),HKD ($),Negotiable,2024-08-25
"中小學導師 (6天) (沙田馬鞍山)/Secondary School and Primary School Tutor (6days) (Ma On Shan, Shatin)",Bright Union International Limited,HKD ($),20K per month,2024-08-31
Actuarial Intern (2025 Internship),Fubon Life Insurance (Hong Kong) Company Limited,HKD ($),Negotiable,2024-09-15
Senior Education & Project Office/ Education & Project Officer (Ref.: SEPO/ EPO_Jijis2408),Green Power Limited,HKD ($),Negotiable,2024-09-15
Account Executive,McCANN-Erickson (HK) LTD,HKD ($),15K - 16K per month,2024-09-13
Business Analyst,Global Sharp International Limited,HKD ($),23K - 27K per month,2024-08-31
BIM Trainee,Takasago Thermal Engineering (Hong Kong) Company Limited,HKD ($),15K - 16K per month,2024-09-15
Sales Manager,Wanfang Data Corporation (International) Limited,HKD ($),17K - 19K per month,2024-09-15
Assistant Officer – Graduate School (Ref: AO (GS) 2024-08-16),The Hang Seng University of Hong Kong,HKD ($),Negotiable,2024-09-01
Graduate Intern (Development - Hong Kong Palace Museum),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-14
兼職DSE英語導師,HANLIN EDUCATION COMPANY,HKD ($),180 - 300 per hour,2024-09-02
Audio & Video Assistant,Luk Fook Holdings Company Limited,HKD ($),15K - 18K per month,2024-09-14
Business Development Manager,Serica Holdings HK Limited,HKD ($),20K - 40K per month,2024-09-09
Junior Secretary,ONC Lawyers,HKD ($),15K - 18K per month,2024-08-31
Assistant Event Manager/Events Coordinator,PROMO X LIMITED,HKD ($),16K - 20K per month,2024-08-23
KPMG Internship – Organisation & Talent Development – Hong Kong (MJ004566),KPMG,HKD ($),8K - 10K per month,2024-09-14
Part Time Membership & Event Promoter,Society for the Prevention of Cruelty to Animals (Hong Kong) Trustees Incorp,HKD ($),70 - 100 per hour,2024-09-13
Lecturer I/II in Department of Social Sciences and Policy Studies (Ref: 2400832),The Education University of Hong Kong,HKD ($),36K per month,2024-08-30
"Business Consultant (Serving Fortune 500 Clients, Central Grade A Office)",Endeavour Search Limited,HKD ($),22K - 34K per month,2024-09-14
AI Video Creator,Jojo Ventures Limited,HKD ($),Negotiable,2024-08-30
Installation Engineer,ALSTOM Hong Kong Ltd,HKD ($),Negotiable,2024-09-14
(Assistant) Graduate Engineer - Installation/ Test & Commissioning / Design,ALSTOM Hong Kong Ltd,HKD ($),Negotiable,2024-09-14
兼職 教學助理(荃灣),Royal Learning Group Limited,HKD ($),Negotiable,2024-09-13
Human Resources Assistant,LSG Lufthansa Service Hong Kong Ltd,HKD ($),15K - 18K per month,2024-09-14
代課教師 - 樂緻幼稚園暨幼稚園(黃大仙),The Boys' & Girls' Clubs Association of Hong Kong(HQ),HKD ($),Negotiable,2024-08-25
Part Time Accounting Clerk,FONG & LO CPA & CO.,HKD ($),80 - 100 per hour,2024-08-31
Part-time Helper,The Hong Kong Academy of Sciences,HKD ($),70 - 90 per hour,2024-09-10
"Officer, Smart Industrial Systems and IoT Technology (Event and marketing focus) (Ref: SMD331/24. 9829)",Hong Kong Productivity Council,HKD ($),18K - 24K per month,2024-09-07
Audit Associate,T. O. Yip & Co. Limited,HKD ($),16.5K - 17K per month,2024-09-12
